qs1,qs2,qs2a,qs3y_1,qs4_1,qs6_1,rateqs3y,rateqs4,rateqs6,p1,p5,p7a,p7b,p7c,p7d,p7e,p7f,p7g,p7count,p8,p9,p10,p11,p14,p15,p16,p1801,p20,p22a,p22b,p22c,p22d,p22e,p22f,p22g,p23,p24,c1,c2a,c2b,c2c,c2d,c2e,c2f,c2g,c3,c8,C3C8,c4,c1_t,c11,c15,c16,c17a,c17b,c17c,c17d,c17e,c17f,c17g,c17h,c17i,c17j,c17k,c17l,c17m,c17n,c17o,c17p,c17q,c20,c23a,c23b,c23c,c23d,c23e,dmscore,C26A_H,C26_A,C26C_H,C26_C,C26D_H,C26_D,C26E_H,C26_E,C26F_H,C26G_H,C26_G,C26TOT1,C26TOT2
1,2,2,13,2,7,13,2,7,1,1,1,2,1,2,2,1,1,4,1,1,5,4,1,800,730,4,6,2,2,2,2,2,2,2,1,3,26,1,99,1,4,1,1,1,4,4,1,11,2130,4,2,5,4,4,4,2,4,5,3,2,2,5,2,2,5,2,5,2,5,3,1,2,3,2,2,20,2,120,0,0,5,300,3,180,1,0,0,17,1020
1,2,2,11,2,6,14,1,9,1,1,1,2,2,2,2,1,1,3,1,1,5,3,1,720,600,7,4,2,2,2,2,2,2,2,1,3,24,4,4,2,2,1,2,1,2,2,1,7,2100,0,2,5,2,2,2,1,2,2,5,2,2,2,5,2,2,2,4,2,2,1,2,2,1,2,1,17.5,1,60,1,60,0.5,30,1.5,90,0,2,120,9,540
1,1,2,14,2,9,14,2,9,2,1,2,2,2,2,2,2,1,1,2,1,4,3,1,900,800,7,4,1,2,2,2,2,1,2,1,7,28,3,3,1,4,3,2,4,2,2,1,11,2200,0,3,5,2,2,2,2,2,2,2,1,2,2,3,5,2,1,3,1,2,2,2,2,2,2,2,20,0.5,30,1,60,2,120,2,120,0.75,1,60,8.25,495
1,1,2,14,2,9,17,1,11,1,1,1,2,1,2,2,1,1,4,2,2,5,4,1,800,735,7,4,2,2,2,2,2,2,2,4,3,24,1,2,1,1,1,1,1,4,4,1,11,2100,0,1,2,3,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,3,1,1,15,0,0,1.5,90,0,0,0,0,0,0.5,30,3,180
1,1,2,13,2,8,13,2,8,1,1,2,2,1,2,2,2,1,2,2,2,4,4,1,800,750,7,2,2,2,2,2,2,1,2,2,7,32,3,2,1,3,4,1,3,4,1,3,11,2300,1,5,2,2,2,5,3,99,1,5,3,1,1,1,3,1,1,3,3,1,5,2,2,1,1,1,15,3,180,1,60,2,120,2,120,1,2,120,11,660
1,1,3,11,1,6,14,1,8,1,1,2,2,2,1,2,2,1,2,1,1,5,2,6,800,700,3,4,2,2,2,2,2,2,2,3,5,24,5,3,3,1,4,1,5,7,7,1,11,2100,2,5,5,2,1,2,3,5,3,2,3,3,1,5,5,4,4,3,2,2,5,1,1,1,1,2,10,1,60,4,240,1,60,0,0,0.33,0.1,6,6.43,386
1,2,1,15,1,10,15,1,10,2,1,1,2,1,1,2,1,1,5,1,1,4,2,1,800,700,7,5,2,2,2,2,2,2,2,1,5,28,2,5,3,1,3,4,5,4,4,1,7,2200,1,2,2,4,4,4,3,2,2,2,5,5,3,4,2,2,2,4,3,2,2,1,1,1,1,1,10,0.5,30,0.25,15,0,0,5,300,0,6,360,15.75,945
1,1,1,13,2,7,13,2,7,1,1,1,1,2,2,2,1,1,4,1,2,5,4,1,630,630,7,2,99,2,2,2,2,2,2,5,1,20,5,5,2,1,4,1,5,7,2,3,11,2000,0,5,4,99,2,99,1,1,2,1,1,4,1,1,1,1,1,3,3,3,1,1,1,1,2,2,12.5,2,120,0,0,0,0,0.33,20,99,1,60,5.33,320
1,2,2,11,1,6,12,2,7,4,1,1,2,1,2,2,1,1,4,1,1,5,3,1,830,700,7,4,1,2,1,2,2,2,2,1,3,26,2,2,2,1,2,2,1,7,7,1,13,2130,0,5,2,5,5,5,2,2,5,5,2,1,3,5,5,2,1,1,2,5,5,3,3,3,3,3,30,0,0,0.5,30,0,0,0,0,0,0,0,2,120
1,1,1,14,2,9,14,2,9,1,1,1,2,2,1,2,1,1,4,1,2,5,4,1,720,700,3,4,2,2,2,2,2,2,2,3,3,28,1,5,5,2,5,1,1,1,2,2,11,2200,0,5,5,1,5,2,3,1,1,2,4,1,5,2,5,1,5,5,1,2,1,2,1,1,1,1,12.5,0,0,0,0,2,120,5,300,1,0,0,11,660
1,1,1,14,1,9,14,1,9,1,1,1,1,2,2,2,1,1,4,1,2,5,5,1,730,700,2,1,2,2,2,2,2,1,2,1,3,28,2,3,1,1,4,1,1,2,2,1,12,2200,0,4,4,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,15,3,180,0.5,30,0,0,0,0,1,1,60,7.5,450
1,1,1,15,2,10,15,2,10,1,1,1,1,1,1,1,1,1,7,1,2,5,4,1,700,645,3,2,2,2,2,2,2,2,1,1,3,24,4,5,5,4,2,1,1,4,2,3,9,2100,0,5,5,1,2,1,1,2,1,1,1,1,2,1,2,1,1,5,1,1,1,1,1,2,2,2,15,1,60,0,0,3,180,2,120,1,1,60,14,840
